"ROI.name"	"Stage"	"Cell"	"ROI.id"	"point"	"x"	"y"
"Stage5.Stele"	"Stage5"	"Stele"	113	11	1089.5968098801	-547.13757496859
"Stage5.Stele"	"Stage5"	"Stele"	113	12	1085.9961280913	-544.052271756613
"Stage5.Stele"	"Stage5"	"Stele"	113	13	1083.99411507436	-542.611418918649
"Stage5.Stele"	"Stage5"	"Stele"	114	1	1071.19416678975	-562.178799147371
"Stage5.Stele"	"Stage5"	"Stele"	114	2	1069.5021982829	-556.034281938252
"Stage5.Stele"	"Stage5"	"Stele"	114	3	1068.61168854244	-547.307286481822
"Stage5.Stele"	"Stage5"	"Stele"	114	4	1069.68030023099	-540.183208558205
"Stage5.Stele"	"Stage5"	"Stele"	114	5	1070.99411801472	-537.324467225107
"Stage5.Stele"	"Stage5"	"Stele"	114	6	1074.47032485433	-540.105315020535
"Stage5.Stele"	"Stage5"	"Stele"	114	7	1083.59741010125	-542.975467613906
"Stage5.Stele"	"Stage5"	"Stele"	114	8	1089.28031223612	-547.567711763299
"Stage5.Stele"	"Stage5"	"Stele"	114	9	1095.19282657847	-550.208252149201
"Stage5.Stele"	"Stage5"	"Stele"	114	10	1094.61879605979	-556.407781750882
"Stage5.Stele"	"Stage5"	"Stele"	114	11	1093.70034722991	-561.057428952143
"Stage5.Stele"	"Stage5"	"Stele"	114	12	1090.14135801413	-560.081577070397
"Stage5.Stele"	"Stage5"	"Stele"	114	13	1082.90857347884	-558.933516033048
"Stage5.Stele"	"Stage5"	"Stele"	114	14	1076.76644692903	-559.450143499855
"Stage5.Stele"	"Stage5"	"Stele"	115	1	1094.98085187417	-555.304138297388
"Stage5.Stele"	"Stage5"	"Stele"	115	2	1095.51141258999	-550.094996723852
"Stage5.Stele"	"Stage5"	"Stele"	115	3	1097.73012103798	-548.455081784036
"Stage5.Stele"	"Stage5"	"Stele"	115	4	1099.08063922371	-545.41641586614
"Stage5.Stele"	"Stage5"	"Stele"	115	5	1102.74633144212	-540.207274292604
"Stage5.Stele"	"Stage5"	"Stele"	115	6	1105.43045996855	-533.568056793675
"Stage5.Stele"	"Stage5"	"Stele"	115	7	1113.88810647441	-533.551148948641
"Stage5.Stele"	"Stage5"	"Stele"	115	8	1121.70181883471	-533.551148948641
"Stage5.Stele"	"Stage5"	"Stele"	115	9	1117.16793635404	-544.596458396231
"Stage5.Stele"	"Stage5"	"Stele"	115	10	1113.45401134328	-553.326593811139
"Stage5.Stele"	"Stage5"	"Stele"	115	11	1111.0423717259	-555.593535051474
"Stage5.Stele"	"Stage5"	"Stele"	116	1	1071.14392829625	-562.556641302096
"Stage5.Stele"	"Stage5"	"Stele"	116	2	1076.93746849213	-559.757078254422
"Stage5.Stele"	"Stage5"	"Stele"	116	3	1082.96430560865	-559.251601593036
"Stage5.Stele"	"Stage5"	"Stele"	116	4	1089.92433040773	-560.379203376127
"Stage5.Stele"	"Stage5"	"Stele"	116	5	1093.61819831786	-561.506805159218
"Stage5.Stele"	"Stage5"	"Stele"	116	6	1093.2682529369	-567.105931254566
"Stage5.Stele"	"Stage5"	"Stele"	116	7	1092.33347412724	-573.410641865179
"Stage5.Stele"	"Stage5"	"Stele"	116	8	1092.24806711669	-580.265636182006
"Stage5.Stele"	"Stage5"	"Stele"	116	9	1092.41976696854	-584.170050430057
"Stage5.Stele"	"Stage5"	"Stele"	116	10	1094.11164815369	-590.394386468205
"Stage5.Stele"	"Stage5"	"Stele"	116	11	1095.37784785171	-594.077876498812
"Stage5.Stele"	"Stage5"	"Stele"	116	12	1090.54326718654	-595.344076196833
