"ROI.name"	"Zone"	"Layer"	"ROI.id"	"point"	"x"	"y"
"RZ.L3"	"RZ"	"L3"	43	1	1117.71337591608	-666.897130679802
"RZ.L3"	"RZ"	"L3"	43	2	1173.26643793855	-638.180582571247
"RZ.L3"	"RZ"	"L3"	43	3	1193.35462983561	-682.925519280531
"RZ.L3"	"RZ"	"L3"	43	4	1192.93736455214	-713.356432942082
"RZ.L3"	"RZ"	"L3"	43	5	1163.26726433906	-737.885617559314
"RZ.L3"	"RZ"	"L3"	44	1	646.173556470488	-901.116896966045
"RZ.L3"	"RZ"	"L3"	44	2	634.174014645613	-868.728802542738
"RZ.L3"	"RZ"	"L3"	44	3	651.762513809849	-797.285759729735
"RZ.L3"	"RZ"	"L3"	44	4	670.957729272996	-785.863986683592
"RZ.L3"	"RZ"	"L3"	44	5	726.311876276284	-792.471682669158
"RZ.L3"	"RZ"	"L3"	44	6	703.938879041882	-837.836227924363
"RZ.L3"	"RZ"	"L3"	44	7	688.740090066292	-896.104767750361
"RZ.L3"	"RZ"	"L3"	45	1	729.225193852649	-793.106825191226
"RZ.L3"	"RZ"	"L3"	45	2	777.307741472765	-816.287362645171
"RZ.L3"	"RZ"	"L3"	45	3	784.210093480064	-888.438010721331
"RZ.L3"	"RZ"	"L3"	45	4	739.592847794947	-916.943673124389
"RZ.L3"	"RZ"	"L3"	45	5	692.049193771936	-896.122534186925
"RZ.L3"	"RZ"	"L3"	45	6	706.685448257201	-838.704421601282
"RZ.L3"	"RZ"	"L3"	46	1	780.332919089944	-814.731255728129
"RZ.L3"	"RZ"	"L3"	46	2	826.620727158933	-767.090817377156
"RZ.L3"	"RZ"	"L3"	46	3	879.379796396042	-785.040933578993
"RZ.L3"	"RZ"	"L3"	46	4	873.130713859858	-822.398248869939
"RZ.L3"	"RZ"	"L3"	46	5	840.38566664335	-834.875733805158
"RZ.L3"	"RZ"	"L3"	46	6	816.676860775051	-880.506795442168
"RZ.L3"	"RZ"	"L3"	46	7	786.32777851938	-887.841046595846
"RZ.L3"	"RZ"	"L3"	47	1	842.285975585073	-836.279684588921
"RZ.L3"	"RZ"	"L3"	47	2	874.383066948595	-823.61380473259
"RZ.L3"	"RZ"	"L3"	47	3	926.606979795304	-838.517123696277
"RZ.L3"	"RZ"	"L3"	47	4	939.87292326147	-866.043836853669
"RZ.L3"	"RZ"	"L3"	47	5	891.359100327476	-898.333837560202
"RZ.L3"	"RZ"	"L3"	47	6	819.424325069372	-881.021412977461
"RZ.L3"	"RZ"	"L3"	48	1	881.051660026969	-783.993287249604
"RZ.L3"	"RZ"	"L3"	48	2	900.263895939677	-756.112864416295
"RZ.L3"	"RZ"	"L3"	48	3	939.395642110404	-803.170172162585
"RZ.L3"	"RZ"	"L3"	48	4	927.095087970087	-836.245283698348
